Vote Name,Table Name,Sector,Approved Budget,released,spent,% Budget released,% budget spent,% releases spent
Lira Referral Hospital,GoU Expenditure by Item,221006  Commissions and related charges,0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.04,0.04,0.04, 100.0%, 99.9%,99.9%
Lira Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.02,0.02,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.05,0.05,0.05, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,221016  IFMS Recurrent costs, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,222003  Information and communications technology (ICT),0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,223003  Rent � (Produced Assets) to private entities, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.01,0.01,0.01, 100.0%, 99.9%,99.9%
Lira Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.10,0.10,0.10, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,223006  Water,0.16,0.16,0.16, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.11,0.11,0.11, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,"224005  Uniforms, Beddings and Protective Gear", 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Lira Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.03,0.03,0.03, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.12,0.12,0.12, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.02,0.02,0.02, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.03,0.03,0.03, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.07,0.07,0.07, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,228004  Maintenance � Other,0.04,0.04,0.04, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 1.00,1.00,1.00, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,231001  Non Residential buildings (Depreciation), 0.07,0.07,0.07, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,231002  Residential buildings (Depreciation), 0.77,0.77,0.77, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,231007  Other Fixed Assets (Depreciation),0.06,0.06,0.06, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,281503  Engineering and Design Studies & Plans for capital, 0.04,0.04,0.04, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,"281504  Monitoring, Supervision & Appraisal of capital wor", 0.05,0.05,0.05, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.11,0.11,0.11, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,321612 Water arrears(Budgeting), 0.11,0.11,0.11, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.00,0.00,0.00, 100.0%,100.0%,100.0%
Lira Referral Hospital,Highlights of Vote Performance,Grand Total:,4.78,5.04,4.96, 105.5%,103.9%, 98.5%
Lira Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,4.66,4.93,4.85, 105.7%,104.0%, 98.4%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 4.66, 4.93, 4.85, 105.7%,104.0%,98.4%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Lira Referral Hospital Services,3.52, 3.79, 3.71, 107.6%,105.5%,98.1%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Lira Referral Hospital Internal Audit,0.02, 0.01, 0.01,88.3%, 53.3%,60.4%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Lira Regional Maintenance,0.13, 0.13, 0.13, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Lira Rehabilitation Referral Hospital,1.00, 1.00, 1.00, 100.0%,100.0%, 100.0%
Lira Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote, 4.66,4.93,4.85, 105.7%,104.0%,98.4%
Mbarara Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services, 5.99, 6.03, 5.75,100.7%,96.1%, 95.5%
Mbarara Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote, 5.99, 6.03, 5.75,100.7%,96.1%, 95.5%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services,5.43, 5.10, 4.83, 93.9%,89.0%, 94.7%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided,4.43, 4.10, 3.99, 92.7%,90.1%, 97.2%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services,0.48, 0.52, 0.52,107.4%, 107.5%,100.1%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services, 0.18, 0.18, 0.18,100.0%,99.8%, 99.8%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services, 0.10, 0.10, 0.10,100.0%,97.8%, 97.8%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services,3.57, 3.21, 3.10, 90.0%,86.8%, 96.5%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services,0.06, 0.06, 0.06,100.1%,99.2%, 99.2%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085607 Immunisation Services, 0.03, 0.03, 0.03,100.0%,98.1%, 98.1%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,Class: Capital Purchases, 1.00, 0.99, 0.84, 99.3%,84.1%, 84.6%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085678 Purchase of Office and Residential Furniture and Fittings, 0.03, 0.03, 0.03,100.0%,83.3%, 83.3%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085680 Hospital Construction/rehabilitation,0.13, 0.13, 0.08,100.0%,61.5%, 61.5%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation,0.84, 0.83, 0.74, 99.2%,87.6%, 88.3%
Mbarara Referral Hospital,GoU Releases and Expenditure by Output, Total For Vote,5.43, 5.10, 4.83, 93.9%,89.0%, 94.7%
Mbarara Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided, 4.43,4.10,3.99, 92.7%,90.1%,97.2%
Mbarara Referral Hospital,Highlights of Vote Performance,211101  General Staff Salaries, 3.28,2.92,2.81,89.1%, 85.7%, 96.2%
Mbarara Referral Hospital,Highlights of Vote Performance,211103  Allowances, 0.01,0.01,0.01, 100.0%, 92.6%, 92.6%
Mbarara Referral Hospital,Highlights of Vote Performance,212102  Pension for General Civil Service,0.00,0.04,0.04,N/A, N/A,100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,213001  Medical expenses (To employees),0.01,0.01,0.01, 100.0%, 99.8%, 99.8%
Mbarara Referral Hospital,Highlights of Vote Performance,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00, 100.0%, 99.4%, 99.4%
Mbarara Referral Hospital,Highlights of Vote Performance,221001  Advertising and Public Relations, 0.00,0.00,0.00, 100.0%, 76.7%, 76.7%
Mbarara Referral Hospital,Highlights of Vote Performance,221002  Workshops and Seminars, 0.01,0.01,0.01, 100.0%,101.0%,100.9%
Mbarara Referral Hospital,Highlights of Vote Performance,221003  Staff Training, 0.01,0.01,0.01, 100.0%, 99.3%, 99.3%
Mbarara Referral Hospital,Highlights of Vote Performance,"221007  Books, Periodicals & Newspapers",0.01,0.01,0.01, 100.0%, 92.3%, 92.3%
Mbarara Referral Hospital,Highlights of Vote Performance,221008  Computer supplies and Information Technology (IT, 0.01,0.01,0.01, 100.0%, 93.7%, 93.7%
Mbarara Referral Hospital,Highlights of Vote Performance,221009  Welfare and Entertainment,0.02,0.02,0.02, 100.0%,100.0%,100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,221010  Special Meals and Drinks, 0.06,0.06,0.06, 100.0%,107.7%,107.7%
Mbarara Referral Hospital,Highlights of Vote Performance,"221011  Printing, Stationery, Photocopying and Binding", 0.03,0.03,0.03, 100.0%, 99.2%, 99.2%
Mbarara Referral Hospital,Highlights of Vote Performance,221012  Small Office Equipment, 0.00,0.00,0.00, 100.0%, 79.2%, 79.2%
Mbarara Referral Hospital,Highlights of Vote Performance,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00, 100.0%, 95.2%, 95.2%
Mbarara Referral Hospital,Highlights of Vote Performance,222001  Telecommunications, 0.01,0.01,0.01, 100.0%,101.1%,101.1%
Mbarara Referral Hospital,Highlights of Vote Performance,222002  Postage and Courier,0.00,0.00,0.00, 100.0%, 75.0%, 75.0%
Mbarara Referral Hospital,Highlights of Vote Performance,222003  Information and communications technology (ICT),0.01,0.01,0.01, 100.0%,110.4%,110.4%
Mbarara Referral Hospital,Highlights of Vote Performance,223001  Property Expenses,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,223004  Guard and Security services,0.01,0.01,0.00, 100.0%, 85.2%, 85.2%
Mbarara Referral Hospital,Highlights of Vote Performance,223005  Electricity,0.20,0.20,0.20, 100.0%,100.0%,100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,223006  Water,0.32,0.32,0.32, 100.0%, 99.9%, 99.9%
Mbarara Referral Hospital,Highlights of Vote Performance,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.01,0.01,0.01, 100.4%, 91.2%, 90.9%
Mbarara Referral Hospital,Highlights of Vote Performance,224004  Cleaning and Sanitation,0.14,0.14,0.14, 100.0%, 98.3%, 98.3%
Mbarara Referral Hospital,Highlights of Vote Performance,"224005  Uniforms, Beddings and Protective Gear", 0.03,0.03,0.02, 100.0%, 87.2%, 87.2%
Mbarara Referral Hospital,Highlights of Vote Performance,227001  Travel inland,0.06,0.06,0.06, 100.0%,102.9%,102.9%
Mbarara Referral Hospital,Highlights of Vote Performance,227002  Travel abroad,0.00,0.00,0.00, 100.0%, 75.0%, 75.0%
Mbarara Referral Hospital,Highlights of Vote Performance,"227003  Carriage, Haulage, Freight and transport hire",0.01,0.01,0.01, 100.0%, 95.6%, 95.6%
Mbarara Referral Hospital,Highlights of Vote Performance,"227004  Fuel, Lubricants and Oils",0.09,0.09,0.09, 100.0%,100.5%,100.5%
Mbarara Referral Hospital,Highlights of Vote Performance,228001  Maintenance - Civil,0.02,0.02,0.02, 100.0%, 99.2%, 99.2%
Mbarara Referral Hospital,Highlights of Vote Performance,228002  Maintenance - Vehicles, 0.03,0.03,0.03, 100.0%,100.1%,100.1%
Mbarara Referral Hospital,Highlights of Vote Performance,"228003  Maintenance � Machinery, Equipment & Furniture", 0.03,0.03,0.03, 100.0%, 98.7%, 98.7%
Mbarara Referral Hospital,Highlights of Vote Performance,228004  Maintenance � Other,0.01,0.01,0.01, 100.0%, 99.2%, 99.2%
Mbarara Referral Hospital,Highlights of Vote Performance,Output Class: Capital Purchases, 1.10,1.09,0.94, 99.4%, 85.5%,86.0%
Mbarara Referral Hospital,Highlights of Vote Performance,231001  Non Residential buildings (Depreciation), 0.13,0.13,0.08, 100.0%, 61.5%, 61.5%
Mbarara Referral Hospital,Highlights of Vote Performance,231002  Residential buildings (Depreciation), 0.76,0.75,0.67,99.1%, 88.6%, 89.4%
Mbarara Referral Hospital,Highlights of Vote Performance,231006  Furniture and fittings (Depreciation),0.03,0.03,0.03, 100.0%, 83.3%, 83.3%
Mbarara Referral Hospital,Highlights of Vote Performance,281503  Engineering and Design Studies & Plans for capital, 0.05,0.05,0.04, 100.0%, 75.0%, 75.0%
Mbarara Referral Hospital,Highlights of Vote Performance,"281504  Monitoring, Supervision & Appraisal of capital wor", 0.03,0.03,0.03, 100.0%, 83.3%, 83.3%
Mbarara Referral Hospital,Highlights of Vote Performance,"312204  Taxes on Machinery, Furniture & Vehicles", 0.10,0.10,0.10, 100.0%,100.0%,100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,Output Class: Arrears, 0.14,0.14,0.13, 98.9%, 95.4%,96.4%
Mbarara Referral Hospital,Highlights of Vote Performance,321612 Water arrears(Budgeting), 0.12,0.12,0.12, 100.0%,96.1%,96.1%
Mbarara Referral Hospital,Highlights of Vote Performance,321614 Electricity arrears (Budgeting),0.01,0.01,0.01,89.8%,89.8%, 100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,Grand Total:,5.66,5.33,5.06, 94.2%, 89.3%,94.9%
Mbarara Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:,5.43,5.10,4.83, 93.9%, 89.0%,94.7%
Mbarara Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services, 5.43, 5.10, 4.83,93.9%, 89.0%,94.7%
Mbarara Referral Hospital,GoU Releases and Expenditure by Project and Programme,01 Mbarara Referral Hospital Services,4.40, 4.09, 3.97,92.8%, 90.2%,97.2%
Mbarara Referral Hospital,GoU Releases and Expenditure by Project and Programme,02 Mbarara Referral Hospital Internal Audit,0.02, 0.02, 0.02,67.1%, 67.1%, 100.0%
Mbarara Referral Hospital,Highlights of Vote Performance,1004 Mbarara Rehabilitation Referral Hospital, 1.00,0.99, 0.84, 99.3%, 84.1%,84.6%
Mbarara Referral Hospital,Highlights of Vote Performance, Total For Vote, 5.43, 5.10,4.83, 93.9%, 89.0%,94.7%
Mubende Referral Hospital,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,3.94, 3.93, 3.87,99.9%, 98.2%, 98.4%
Mubende Referral Hospital,Releases and Expenditure by Vote Function, Total For Vote,3.94, 3.93, 3.87,99.9%, 98.2%, 98.4%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 3.93,3.93,3.87,100.1%,98.5%, 98.4%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,Class: Outputs Provided, 2.93,2.93,2.87,100.0%,97.9%, 97.9%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,085601 Inpatient services, 0.21,2.35,2.27, 1118.6%,1080.0%, 96.6%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,085602 Outpatient services,0.04,0.04,0.04,100.0%, 101.9%,101.9%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.03,0.03,0.03,100.0%,98.3%, 98.3%
Mubende Referral Hospital,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 2.50,0.36,0.39, 14.5%,15.7%,108.7%
Mubende Referral Hospital,Highlights of Vote Performance,085606 Prevention and rehabilitation services, 0.14, 0.14, 0.13, 100.0%, 92.2%, 92.2%
Mubende Referral Hospital,Highlights of Vote Performance,085607 Immunisation Services,0.01, 0.01, 0.01, 100.0%, 99.8%, 99.8%
Mubende Referral Hospital,Highlights of Vote Performance,Class: Capital Purchases,1.00, 1.00, 1.00, 100.4%,100.1%, 99.6%
Mubende Referral Hospital,Highlights of Vote Performance,085671 Acquisition of Land by Government,0.01, 0.01, 0.01, 100.0%,100.0%,100.0%
Mubende Referral Hospital,Highlights of Vote Performance,"085673 Roads, Streets and Highways",0.01, 0.01, 0.01, 100.0%,100.0%,100.0%
Mubende Referral Hospital,Highlights of Vote Performance,"085676 Purchase of Office and ICT Equipment, including Software", 0.01, 0.01, 0.01, 100.0%,100.0%,100.0%
Mubende Referral Hospital,Highlights of Vote Performance,085677 Purchase of Specialised Machinery & Equipment,0.04, 0.04, 0.04, 100.0%,100.0%,100.0%
Mubende Referral Hospital,Highlights of Vote Performance,085680 Hospital Construction/rehabilitation, 0.94, 0.94, 0.94, 100.5%,100.1%, 99.6%
Mubende Referral Hospital,Highlights of Vote Performance, Total For Vote, 3.93, 3.93, 3.87, 100.1%, 98.5%, 98.4%
Mubende Referral Hospital,GoU Expenditure by Item,Output Class: Outputs Provided,2.93,2.93,2.87, 100.0%,97.9%, 97.9%
Mubende Referral Hospital,GoU Expenditure by Item,211101  General Staff Salaries, 2.14,2.14,2.08, 100.0%, 97.2%,97.2%
Mubende Referral Hospital,GoU Expenditure by Item,211103  Allowances, 0.05,0.05,0.04,99.9%, 93.6%,93.7%
Mubende Referral Hospital,GoU Expenditure by Item,213001  Medical expenses (To employees),0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.00,0.00,0.00, 100.0%,105.8%, 105.8%
Mubende Referral Hospital,GoU Expenditure by Item,221002  Workshops and Seminars, 0.01,0.01,0.01, 100.0%,100.1%, 100.1%
Mubende Referral Hospital,GoU Expenditure by Item,221003  Staff Training, 0.01,0.01,0.01, 100.0%,100.4%, 100.4%
Mubende Referral Hospital,GoU Expenditure by Item,221004  Recruitment Expenses, 0.01,0.01,0.01, 100.0%, 93.8%,93.8%
Mubende Referral Hospital,GoU Expenditure by Item,221006  Commissions and related charges,0.02,0.02,0.06, 100.0%,264.5%, 264.5%
Mubende Referral Hospital,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00, 100.0%, 98.5%,98.5%
Mubende Referral Hospital,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,221009  Welfare and Entertainment,0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,221010  Special Meals and Drinks, 0.05,0.05,0.04, 100.0%, 84.6%,84.6%
Mubende Referral Hospital,GoU Expenditure by Item,"221011  Printing, Stationery, Photocopying and Binding", 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,221012  Small Office Equipment, 0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,221014  Bank Charges and other Bank related costs,0.00,0.00,0.00, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,222001  Telecommunications, 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,222002  Postage and Courier,0.00,0.00,0.00, 100.0%, 75.0%,75.0%
Mubende Referral Hospital,GoU Expenditure by Item,223001  Property Expenses,0.01,0.01,0.01, 100.0%, 94.4%,94.4%
Mubende Referral Hospital,GoU Expenditure by Item,223004  Guard and Security services,0.02,0.02,0.02, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,223005  Electricity,0.07,0.07,0.07, 106.2%,106.8%, 100.6%
Mubende Referral Hospital,GoU Expenditure by Item,223006  Water,0.06,0.06,0.06,93.5%,102.6%, 109.7%
Mubende Referral Hospital,GoU Expenditure by Item,"223007  Other Utilities- (fuel, gas, firewood, charcoal)", 0.01,0.01,0.01, 100.0%,114.1%, 114.1%
Mubende Referral Hospital,GoU Expenditure by Item,224004  Cleaning and Sanitation,0.06,0.06,0.05, 100.0%, 88.1%,88.1%
Mubende Referral Hospital,GoU Expenditure by Item,225001  Consultancy Services- Short term, 0.02,0.02,0.02, 100.0%,101.7%, 101.7%
Mubende Referral Hospital,GoU Expenditure by Item,227001  Travel inland,0.10,0.10,0.09, 100.0%, 83.0%,83.0%
Mubende Referral Hospital,GoU Expenditure by Item,227002  Travel abroad,0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,"227004  Fuel, Lubricants and Oils",0.07,0.07,0.07, 100.0%, 93.0%,93.0%
Mubende Referral Hospital,GoU Expenditure by Item,228001  Maintenance - Civil,0.04,0.04,0.04, 100.0%, 98.8%,98.8%
Mubende Referral Hospital,GoU Expenditure by Item,228002  Maintenance - Vehicles, 0.02,0.02,0.02, 100.0%, 99.1%,99.1%
Mubende Referral Hospital,GoU Expenditure by Item,"228003  Maintenance � Machinery, Equipment & Furniture", 0.06,0.06,0.06, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,228004  Maintenance � Other,0.03,0.03,0.03, 100.0%, 82.7%,82.7%
Mubende Referral Hospital,GoU Expenditure by Item,Output Class: Capital Purchases, 1.00,1.00,1.00, 100.4%,100.1%,99.6%
Mubende Referral Hospital,GoU Expenditure by Item,231001 Non Residential buildings (Depreciation), 0.84,0.84,0.84, 100.0%,100.1%, 100.1%
Mubende Referral Hospital,GoU Expenditure by Item,231003 Roads and bridges (Depreciation), 0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,GoU Expenditure by Item,231005 Machinery and equipment,0.07,0.07,0.07, 106.8%,100.0%,93.7%
Mubende Referral Hospital,GoU Expenditure by Item,"281504 Monitoring, Supervision & Appraisal of capital wor", 0.08,0.09,0.09, 100.0%,100.0%, 100.0%
Mubende Referral Hospital,Highlights of Vote Performance,Grand Total:, 3.93,3.93,3.87, 100.1%,98.5%, 98.4%
Mubende Referral Hospital,Highlights of Vote Performance,Total Excluding Taxes and Arrears:, 3.93,3.93,3.87, 100.1%,98.5%, 98.4%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme,VF:0856 Regional Referral Hospital Services,3.93, 3.93, 3.87, 100.1%,98.5%,98.4%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme,01  Mubende Referral Hospital Services,2.83, 2.83, 2.77, 100.0%,98.1%,98.1%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme,02  Mubende Referral Hospital Internal Audit,0.01, 0.01, 0.01, 100.0%, 100.0%, 100.0%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme,03  Mubende Regional Maintenance,0.09, 0.09, 0.09, 100.0%,93.7%,93.7%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme,1004 Mubende Rehabilitation Referal Hospital, 1.00, 1.00, 1.00, 100.4%, 100.1%,99.6%
Mubende Referral Hospital,GoU Releases and Expenditure by Project and Programme, Total For Vote,3.93,3.93,3.87, 100.1%,98.5%,98.4%
Moroto Referral Hosptial,Releases and Expenditure by Vote Function,VF:0856 Regional Referral Hospital Services,3.55, 3.50, 2.69, 98.5%, 75.8%,76.9%
Moroto Referral Hosptial,Releases and Expenditure by Vote Function, Total For Vote,3.55, 3.50, 2.69, 98.5%, 75.8%,76.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,VF:0856 Regional Referral Hospital Services, 3.55, 3.50, 2.69,98.5%, 75.8%, 76.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,Class: Outputs Provided, 2.55, 2.61, 1.59, 102.2%, 62.2%, 60.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085601 Inpatient services, 0.22, 1.14, 0.56, 507.1%,247.9%, 48.9%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085602 Outpatient services,0.11, 0.11, 0.10, 104.3%, 99.5%, 95.4%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085604 Diagnostic services,0.05, 0.06, 0.05, 116.2%,100.0%, 86.1%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085605 Hospital Management and support services, 2.14, 1.27, 0.84,59.5%, 39.4%, 66.3%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085606 Prevention and rehabilitation services, 0.02, 0.02, 0.02,96.4%,100.0%,103.7%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085607 Immunisation Services,0.02, 0.01, 0.02,70.6%, 91.1%,129.1%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,Class: Capital Purchases,1.00, 0.89, 1.10,89.1%,110.4%,124.0%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output,085681 Staff houses construction and rehabilitation, 1.00, 0.89, 1.10,89.1%,110.4%,124.0%
Moroto Referral Hosptial,GoU Releases and Expenditure by Output, Total For Vote, 3.55, 3.50, 2.69,98.5%, 75.8%, 76.9%
Moroto Referral Hosptial,GoU Expenditure by Item,Output Class: Outputs Provided,2.55,2.61,1.59, 102.2%,62.2%, 60.9%
Moroto Referral Hosptial,GoU Expenditure by Item,211101 General Staff Salaries, 1.73,1.79,0.79, 103.1%, 45.8%,44.5%
Moroto Referral Hosptial,GoU Expenditure by Item,211103 Allowances, 0.07,0.08,0.07, 106.4%,100.0%,94.0%
Moroto Referral Hosptial,GoU Expenditure by Item,213001  Medical expenses (To employees),0.01,0.01,0.01, 104.3%,100.0%,95.9%
Moroto Referral Hosptial,GoU Expenditure by Item,"213002  Incapacity, death benefits and funeral expenses",0.00,0.00,0.00, 105.3%,100.0%,95.0%
Moroto Referral Hosptial,GoU Expenditure by Item,221001  Advertising and Public Relations, 0.01,0.01,0.01,95.2%, 85.7%,90.0%
Moroto Referral Hosptial,GoU Expenditure by Item,221002  Workshops and Seminars, 0.01,0.01,0.01,92.6%,100.0%, 108.0%
Moroto Referral Hosptial,GoU Expenditure by Item,221003  Staff Training, 0.01,0.01,0.01,92.1%,100.0%, 108.6%
Moroto Referral Hosptial,GoU Expenditure by Item,221006  Commissions and related charges,0.01,0.01,0.01, 100.0%,100.0%, 100.0%
Moroto Referral Hosptial,GoU Expenditure by Item,"221007  Books, Periodicals & Newspapers",0.00,0.00,0.00,25.0%, 50.0%, 200.0%
Moroto Referral Hosptial,GoU Expenditure by Item,221008  Computer supplies and Information Technology (IT, 0.01,0.01,0.01,76.3%, 84.2%, 110.3%
Moroto Referral Hosptial,Highlights of Vote Performance,221009  Welfare and Entertainment,0.01,0.01,0.01, 100.0%,100.0%,100.0%
Moroto Referral Hosptial,Highlights of Vote Performance,221010  Special Meals and Drinks, 0.01,0.01,0.01, 100.0%,100.0%,100.0%
